#Elist Carrier_QAH Carrier_Axion
-3.000000000000000000e+00 -9.155994107806604276e+00 -7.235556523298039444e+00
-2.984962406015037484e+00 -9.027768822400517479e+00 -7.147826166400550463e+00
-2.969924812030074968e+00 -8.900345451603733693e+00 -7.060827004649084415e+00
-2.954887218045112895e+00 -8.773886307906161974e+00 -6.974547918832031179e+00
-2.939849624060150379e+00 -8.648540976037462968e+00 -6.888978193834680575e+00
-2.924812030075187863e+00 -8.524444102949647828e+00 -6.804107488558345906e+00
-2.909774436090225791e+00 -8.401713744538163553e+00 -6.719925820851047504e+00
-2.894736842105263275e+00 -8.280450292316205108e+00 -6.636423565502433952e+00
-2.879699248120300759e+00 -8.160735971857773663e+00 -6.553591461543509133e+00
-2.864661654135338242e+00 -8.042634876986230807e+00 -6.471420623752808687e+00
-2.849624060150375726e+00 -7.926193481210161096e+00 -6.389902552677115821e+00
-2.834586466165413654e+00 -7.811441551953596019e+00 -6.309029137780111540e+00
-2.819548872180451138e+00 -7.698393384138946693e+00 -6.228792649537309600e+00
-2.804511278195488622e+00 -7.587049267411997810e+00 -6.149185718241267473e+00
-2.789473684210526550e+00 -7.477397104903396929e+00 -6.070201299669578887e+00
-2.774436090225564033e+00 -7.369414109605771479e+00 -5.991832630209469990e+00
-2.759398496240601517e+00 -7.263068515654572010e+00 -5.914073176110603569e+00
-2.744360902255639001e+00 -7.158321254417634449e+00 -5.836916582881775284e+00
-2.729323308270676485e+00 -7.055127557833404950e+00 -5.760356631201144495e+00
-2.714285714285714413e+00 -6.953438462681792664e+00 -5.684387204980577479e+00
-2.699248120300751896e+00 -6.853202198601693773e+00 -5.609002275504733070e+00
-2.684210526315789380e+00 -6.754365449295821833e+00 -5.534195903122215654e+00
-2.669172932330827308e+00 -6.656874480520174941e+00 -5.459962255199682701e+00
-2.654135338345864792e+00 -6.560676130535568085e+00 -5.386295636426991607e+00
-2.639097744360902276e+00 -6.465718659352763353e+00 -5.313190525534654540e+00
-2.624060150375939759e+00 -6.371952453112118775e+00 -5.240641611412547363e+00
-2.609022556390977243e+00 -6.279330580082751467e+00 -5.168643821700458219e+00
-2.593984962406015171e+00 -6.187809195701603926e+00 -5.097192338159519664e+00
-2.578947368421052655e+00 -6.097347796238659967e+00 -5.026282595331533543e+00
-2.563909774436090139e+00 -6.007909324233597914e+00 -4.955910261784667092e+00
-2.548872180451128067e+00 -5.919460133672070690e+00 -4.886071206157536650e+00
-2.533834586466165550e+00 -5.831969828559232738e+00 -4.816761452753018702e+00
-2.518796992481203034e+00 -5.745410994501023438e+00 -4.747977133165198538e+00
-2.503759398496240518e+00 -5.659758848398781517e+00 -4.679714441053266505e+00
-2.488721804511278002e+00 -5.574990835663612643e+00 -4.611969596601715793e+00
-2.473684210526315930e+00 -5.491086206815364967e+00 -4.544738825533307214e+00
-2.458646616541353414e+00 -5.408025605478991693e+00 -4.478018355066753386e+00
-2.443609022556390897e+00 -5.325790697408340435e+00 -4.411804426369770660e+00
-2.428571428571428825e+00 -5.244363865319149554e+00 -4.346093320345437938e+00
-2.413533834586466309e+00 -5.163727987350890558e+00 -4.280881391473981168e+00
-2.398496240601503793e+00 -5.083866308505855969e+00 -4.216165103271340087e+00
-2.383458646616541277e+00 -5.004762405226974131e+00 -4.151941058905941340e+00
-2.368421052631578760e+00 -4.926400234267735989e+00 -4.088206021617413199e+00
-2.353383458646616688e+00 -4.848764249074034360e+00 -4.024956921588080050e+00
-2.338345864661654172e+00 -4.771839560834516547e+00 -3.962190848454301140e+00
-2.323308270676691656e+00 -4.695612117768900085e+00 -3.899905031245355147e+00
-2.308270676691729584e+00 -4.620068875459030444e+00 -3.838096809733018144e+00
-2.293233082706767068e+00 -4.545197933132245183e+00 -3.776763602576019618e+00
-2.278195488721804551e+00 -4.470988615521581444e+00 -3.715902878010538757e+00
-2.263157894736842035e+00 -4.397431486714694415e+00 -3.655512132123413860e+00
-2.248120300751879519e+00 -4.324518290505493745e+00 -3.595588878100455243e+00
-2.233082706766917447e+00 -4.252241820285824758e+00 -3.536130647589989628e+00
-2.218045112781954931e+00 -4.180595729527868620e+00 -3.477135002893577465e+00
-2.203007518796992414e+00 -4.109574300546061210e+00 -3.418599556554211549e+00
-2.187969924812030342e+00 -4.039172193785937282e+00 -3.360521993464805846e+00
-2.172932330827067826e+00 -3.969384201900910902e+00 -3.302900090143804590e+00
-2.157894736842105310e+00 -3.900205032169408170e+00 -3.245731726415825413e+00
-2.142857142857142794e+00 -3.831629137502714499e+00 -3.189014886288376260e+00
-2.127819548872180277e+00 -3.763650610815219899e+00 -3.132747647043282235e+00
-2.112781954887218205e+00 -3.696263150527380859e+00 -3.076928158044538009e+00
-2.097744360902255689e+00 -3.629460097261877571e+00 -3.021554613028761160e+00
-2.082706766917293173e+00 -3.563234534253279406e+00 -2.966625221247212174e+00
-2.067669172932331101e+00 -3.497579437462277063e+00 -2.912138183440353245e+00
-2.052631578947368585e+00 -3.432487856574256924e+00 -2.858091678094357491e+00
-2.037593984962406068e+00 -3.367953105463400654e+00 -2.804483861809472067e+00
-2.022556390977443552e+00 -3.303968940546262445e+00 -2.751312885161676824e+00
-2.007518796992481036e+00 -3.240529707675970705e+00 -2.698576922582018867e+00
-1.992481203007518964e+00 -3.177630442510711362e+00 -2.646274212022568406e+00
-1.977443609022556448e+00 -3.115266915073537923e+00 -2.594403098034920419e+00
-1.962406015037593932e+00 -3.053435615796374236e+00 -2.542962070776612293e+00
-1.947368421052631637e+00 -2.992133686936142567e+00 -2.491949793634605115e+00
-1.932330827067669343e+00 -2.931358809120222730e+00 -2.441365113647383289e+00
-1.917293233082706827e+00 -2.871109057292748901e+00 -2.391207051522489913e+00
-1.902255639097744311e+00 -2.811382743048935318e+00 -2.341474771385945175e+00
-1.887218045112782017e+00 -2.752178261048897845e+00 -2.292167533926559031e+00
-1.872180451127819723e+00 -2.693493955928208727e+00 -2.243284639723928109e+00
-1.857142857142857206e+00 -2.635328023133328479e+00 -2.194825371735700692e+00
-1.842105263157894690e+00 -2.577678452857668390e+00 -2.146788946772345774e+00
-1.827067669172932396e+00 -2.520543021314064269e+00 -2.099174485124604139e+00
-1.812030075187970102e+00 -2.463919328576286816e+00 -2.051981005398234359e+00
-1.796992481203007586e+00 -2.407804877750736594e+00 -2.005207448364449085e+00
-1.781954887218045069e+00 -2.352197186794406925e+00 -1.958852729760943490e+00
-1.766917293233082775e+00 -2.297093922216888906e+00 -1.912915818101573961e+00
-1.751879699248120481e+00 -2.242493043345145765e+00 -1.867395830309440008e+00
-1.736842105263157965e+00 -2.188392946746946954e+00 -1.822292135923272660e+00
-1.721804511278195449e+00 -2.134792602579451248e+00 -1.777604460100785211e+00
-1.706766917293233154e+00 -2.081691677687904196e+00 -1.733332976767941069e+00
-1.691729323308270860e+00 -2.029090643769924540e+00 -1.689478385882768663e+00
-1.676691729323308344e+00 -1.976990872356418016e+00 -1.646041972489561189e+00
-1.661654135338345828e+00 -1.925394721283006483e+00 -1.603025649439292266e+00
-1.646616541353383534e+00 -1.874305619358793251e+00 -1.560431989653816132e+00
-1.631578947368421240e+00 -1.823728156824927282e+00 -1.518264256935201395e+00
-1.616541353383458723e+00 -1.773668188817843827e+00 -1.476526446004974957e+00
-1.601503759398496207e+00 -1.724132957440373204e+00 -1.435223342343338260e+00
-1.586466165413533913e+00 -1.675131235359942572e+00 -1.394360610387989752e+00
-1.571428571428571619e+00 -1.626673490364957786e+00 -1.353944914924182896e+00
-1.556390977443609103e+00 -1.578772066358700599e+00 -1.313984075479915248e+00
-1.541353383458646586e+00 -1.531441372230174736e+00 -1.274487247848102633e+00
-1.526315789473684292e+00 -1.484698066288482998e+00 -1.235465121206546613e+00
-1.511278195488721998e+00 -1.438561220826181319e+00 -1.196930114412512403e+00
-1.496240601503759482e+00 -1.393052449179886132e+00 -1.158896551533464603e+00
-1.481203007518796966e+00 -1.348195976607881263e+00 -1.121380794989015328e+00
-1.466165413533834672e+00 -1.304018636554649113e+00 -1.084401315049938752e+00
-1.451127819548872377e+00 -1.260549775492794566e+00 -1.047978676858795311e+00
-1.436090225563909861e+00 -1.217821052516443459e+00 -1.012135430371607470e+00
-1.421052631578947345e+00 -1.175866124120460654e+00 -9.768958942605712181e-01
-1.406015037593985051e+00 -1.134720209970366156e+00 -9.422858313361199833e-01
-1.390977443609022757e+00 -1.094419541702881915e+00 -9.083320198670614687e-01
-1.375939849624060241e+00 -1.055000703573529819e+00 -8.750617317431403919e-01
-1.360902255639097724e+00 -1.016499880692990132e+00 -8.425021342524292578e-01
-1.345864661654135430e+00 -9.789520372207149990e-01 -8.106796369652649048e-01
-1.330827067669173136e+00 -9.423900527353197276e-01 -7.796192085862330146e-01
-1.315789473684210620e+00 -9.068438496030406526e-01 -7.493436905450101548e-01
-1.300751879699248104e+00 -8.723395470906574189e-01 -7.198731345501876433e-01
-1.285714285714285809e+00 -8.388986788809500439e-01 -6.912241904231768430e-01
-1.270676691729323515e+00 -8.065375093448796662e-01 -6.634095684210876698e-01
-1.255639097744360999e+00 -7.752664803718065656e-01 -6.364375971443241298e-01
-1.240601503759398483e+00 -7.450898149116369495e-01 -6.103118942183840545e-01
-1.225563909774436189e+00 -7.160052959835354613e-01 -5.850311624527746446e-01
-1.210526315789473895e+00 -6.880042312617060674e-01 -5.605891193185694732e-01
-1.195488721804511378e+00 -6.610716040889226264e-01 -5.369745625462609695e-01
-1.180451127819548862e+00 -6.351864025821463144e-01 -5.141715696144615322e-01
-1.165413533834586568e+00 -6.103221100623787976e-01 -4.921598240587803375e-01
-1.150375939849624274e+00 -5.864473329634396492e-01 -4.709150570536255742e-01
-1.135338345864661758e+00 -5.635265371117448296e-01 -4.504095887753596372e-01
-1.120300751879699241e+00 -5.415208600960568219e-01 -4.306129507980482884e-01
-1.105263157894736947e+00 -5.203889664322449704e-01 -4.114925683377821386e-01
-1.090225563909774653e+00 -5.000879132422948459e-01 -3.930144796524954742e-01
-1.075187969924812137e+00 -4.805739969067026607e-01 -3.751440693849668051e-01
-1.060150375939849621e+00 -4.618035551901851221e-01 -3.578467931202622410e-01
-1.045112781954887327e+00 -4.437337041934465987e-01 -3.410888718709674805e-01
-1.030075187969925032e+00 -4.263229946590421093e-01 -3.248379374999972313e-01
-1.015037593984962516e+00 -4.095319772208370068e-01 -3.090636130805171078e-01
-1.000000000000000000e+00 -3.933236707931300202e-01 -2.937380156662809938e-01
-9.849624060150379279e-01 -3.776639322238057872e-01 -2.788361726612462732e-01
-9.699248120300754117e-01 -3.625217284841077969e-01 -2.643363466789789840e-01
-9.548872180451128955e-01 -3.478693150403238121e-01 -2.502202672242699322e-01
-9.398496240601503793e-01 -3.336823257356993366e-01 -2.364732704995899937e-01
-9.248120300751878631e-01 -3.199397806362878072e-01 -2.230843509815993997e-01
-9.097744360902257910e-01 -3.066240190090354645e-01 -2.100461300449847357e-01
-8.947368421052632748e-01 -2.937205650378409416e-01 -1.973547478323895987e-01
-8.796992481203007586e-01 -2.812179341467686555e-01 -1.850096848627007518e-01
-8.646616541353386864e-01 -2.691073879553087522e-01 -1.730135196906523731e-01
-8.496240601503761702e-01 -2.573826459710044645e-01 -1.613716284865365225e-01
-8.345864661654136540e-01 -2.460395621390620846e-01 -1.500918319287043445e-01
-8.195488721804511378e-01 -2.350757743161739910e-01 -1.391839945200201711e-01
-8.045112781954886216e-01 -2.244903346181228443e-01 -1.286595815399680376e-01
-7.894736842105265495e-01 -2.142833284196132837e-01 -1.185311794477925673e-01
-7.744360902255640333e-01 -2.044554895837240593e-01 -1.088119866931016588e-01
-7.593984962406015171e-01 -1.950078192977144909e-01 -9.951528350813632073e-02
-7.443609022556394450e-01 -1.859412157196178583e-01 -9.065389119822420128e-02
-7.293233082706769288e-01 -1.772561215104460075e-01 -8.223963348687846064e-02
-7.142857142857144126e-01 -1.689521962300926106e-01 -7.428281433483086005e-02
-6.992481203007518964e-01 -1.610280204726741715e-01 -6.679172804916699846e-02
-6.842105263157893802e-01 -1.534808384420109917e-01 -5.977221816382094488e-02
-6.691729323308273081e-01 -1.463063453329418451e-01 -5.322730129772956786e-02
-6.541353383458647919e-01 -1.394985252959379807e-01 -4.715687085930664324e-02
-6.390977443609022757e-01 -1.330495448388706592e-01 -4.155749304712852421e-02
-6.240601503759402036e-01 -1.269497052084958000e-01 -3.642230418818126481e-02
-6.090225563909776874e-01 -1.211874555875205317e-01 -3.174101425108766250e-02
-5.939849624060151712e-01 -1.157494668868679355e-01 -2.750001665143297913e-02
-5.789473684210526550e-01 -1.106207636075069445e-01 -2.368259956493901086e-02
-5.639097744360901387e-01 -1.057849088396700665e-01 -2.026924924003381534e-02
-5.488721804511280666e-01 -1.012242351385737038e-01 -1.723803159984438338e-02
-5.338345864661655504e-01 -9.692011195563488002e-02 -1.456503504443684704e-02
-5.187969924812030342e-01 -9.285323869096195892e-02 -1.222485503399539652e-02
-5.037593984962409621e-01 -8.900395141146866251e-02 -1.019109988758337693e-02
-4.887218045112784459e-01 -8.535253094269279472e-02 -8.436897305225343757e-03
